date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:53	50312/50312	---M--	200	added ('OK')	application/font-woff	etag:%22c488-59f3cd35dd4bf%22	https://shurl.club/themes/infinity/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://shurl.club/)
17:06:55	99212/99212	---M--	200	added ('OK')	application/font-sfnt	etag:%221838c-59f3cd35dc51f%22	https://shurl.club/themes/infinity/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://shurl.club/)
17:06:55	10347/10347	---M--	200	added ('OK')	image/png	etag:%22286b-5a03ab51dacbb%22	https://shurl.club/content/auto_site_logo.png	C:/My%20Web%20Sites/New_Project/shurl.club/content/auto_site_logo.png	(from https://shurl.club/)
17:06:56	22521/22521	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202020%2016:06:55%20GMT	https://shurl.club/pricing	C:/My%20Web%20Sites/New_Project/shurl.club/pricing.html	(from https://shurl.club/)
17:06:56	11136/11136	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202020%2016:06:56%20GMT	https://shurl.club/blog	C:/My%20Web%20Sites/New_Project/shurl.club/blog.html	(from https://shurl.club/)
17:06:57	11405/11405	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202020%2016:06:56%20GMT	https://shurl.club/user/login	C:/My%20Web%20Sites/New_Project/shurl.club/user/login.html	(from https://shurl.club/)
17:06:57	11085/11085	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202020%2016:06:56%20GMT	https://shurl.club/user/register	C:/My%20Web%20Sites/New_Project/shurl.club/user/register.html	(from https://shurl.club/)
17:06:58	19057/19057	---M--	200	added ('OK')	image/jpeg	etag:%224a71-59f3cd35e615e%22	https://shurl.club/themes/infinity/img/back.jpg	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/img/back.jpg	(from https://shurl.club/)
17:06:58	3816/3816	---M--	200	added ('OK')	image/png	etag:%22ee8-59f3cd35e9fde%22	https://shurl.club/themes/infinity/img/lock.png	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/img/lock.png	(from https://shurl.club/)
17:06:58	5792/5792	---M--	200	added ('OK')	image/png	etag:%2216a0-59f3cd35e9fde%22	https://shurl.club/themes/infinity/img/globe.png	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/img/globe.png	(from https://shurl.club/)
